,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,Kyler Murray,Ryan Tannehill,Russell Wilson,Josh Allen,Lamar Jackson,Jalen Hurts,Aaron Rodgers,Matt Ryan,Patrick Mahomes,Dak Prescott
WR1,Robert Woods,Davante Adams,DK Metcalf,Deebo Samuel,DJ Moore,DeAndre Hopkins,Chris Godwin,Tyreek Hill,Adam Thielen,Stefon Diggs
WR2,Calvin Ridley,Keenan Allen,CeeDee Lamb,Quintez Cephus,Ja'Marr Chase,Marvin Jones Jr.,Cooper Kupp,Allen Robinson II,Terry McLaurin,Robby Anderson
RB1,Chris Carson,Najee Harris,David Montgomery,Leonard Fournette,Aaron Jones,Austin Ekeler,Derrick Henry,Antonio Gibson,Chase Edmonds,Ezekiel Elliott
RB2,Joe Mixon,Nick Chubb,Jonathan Taylor,Cordarrelle Patterson,Alvin Kamara,Christian McCaffrey,Miles Sanders,Saquon Barkley,Damien Harris,Nyheim Hines
TE,T.J. Hockenson,Jonnu Smith,Mark Andrews,Travis Kelce,Tyler Higbee,Logan Thomas,Noah Fant,Kyle Pitts,Rob Gronkowski,Darren Waller
W/R/T,Julio Jones,Tyler Lockett,Mike Williams,George Kittle,JuJu Smith-Schuster,Myles Gaskin,A.J. Brown,Ty'Son Williams,Justin Jefferson,Corey Davis
BN1,Clyde Edwards-Helaire,Tyler Boyd,Mike Davis,Mike Evans,Tee Higgins,Kenny Golladay,Hunter Henry,Kareem Hunt,Dalvin Cook,Diontae Johnson
BN2,Jamaal Williams,Justin Fields,Javonte Williams,Amari Cooper,Tom Brady,Melvin Gordon III,D'Andre Swift,J.D. McKissic,Robert Tonyan,James Robinson
BN3,Brandin Cooks,Kenyan Drake,Justin Herbert,Antonio Brown,Josh Jacobs,Jameis Winston,Darrell Henderson Jr.,Mecole Hardman,Trevor Lawrence,Tony Pollard
BN4,Marquise Brown,Chuba Hubbard,Michael Pittman Jr.,James Conner,Brandon Aiyuk,DJ Chark Jr.,Odell Beckham Jr.,A.J. Green,Darnell Mooney,Trey Sermon
BN5,Samaje Perine,Sterling Shepard,Will Fuller V,Chase Claypool,Ronald Jones II,Gabriel Davis,AJ Dillon,Tim Patrick,Courtland Sutton,Matthew Stafford
BN6,Kirk Cousins,James White,Jason Sanders,Joe Burrow,DeVonta Smith,Dallas Goedert,Devin Singletary,Kenneth Gainwell,David Johnson,Sony Michel
BN7,Jerick McKinnon,Jacques Patrick,Pittsburgh,San Francisco,Jaylen Waddle,Jakobi Meyers,Devonta Freeman,,Phillip Lindsay,Rondale Moore
BN8,,,,,,,,,,
K,Rodrigo Blankenship,Harrison Butker,Younghoe Koo,Justin Tucker,Greg Zuerlein,Tyler Bass,Ryan Succop,Matt Gay,Mason Crosby,Matt Prater
DEF,Denver,Washington,Baltimore,Carolina,Tampa Bay,New England,Buffalo,Los Angeles,New Orleans,Arizona
