,mark,Diesel,EB,Marshall,Pogochamp,Chris,Matt,Derek,Trevor,Guy
QB,Kyler Murray,Ryan Tannehill,Justin Herbert,Josh Allen,Tom Brady,Jalen Hurts,Aaron Rodgers,Teddy Bridgewater,Patrick Mahomes,Matthew Stafford
WR1,Robert Woods,Emmanuel Sanders,Tyreek Hill,Deebo Samuel,DJ Moore,DeAndre Hopkins,Cooper Kupp,Allen Robinson II,Terry McLaurin,Stefon Diggs
WR2,Brandin Cooks,Keenan Allen,Mike Williams,Mike Evans,Ja'Marr Chase,Cole Beasley,A.J. Brown,DK Metcalf,Adam Thielen,Diontae Johnson
RB1,Joe Mixon,Chuba Hubbard,Jonathan Taylor,Leonard Fournette,Aaron Jones,Austin Ekeler,Derrick Henry,Eli Mitchell,Damien Harris,Ezekiel Elliott
RB2,Alex Collins,Najee Harris,Javonte Williams,Cordarrelle Patterson,Alvin Kamara,Devontae Booker,Darrell Henderson Jr.,Kenneth Gainwell,Dalvin Cook,James Robinson
TE,T.J. Hockenson,Dalton Schultz,Robert Tonyan,Travis Kelce,Tyler Higbee,Dallas Goedert,Noah Fant,Kyle Pitts,Cole Kmet,Jared Cook
W/R/T,T.Y. Hilton,Nick Chubb,CeeDee Lamb,James Conner,DeVonta Smith,Marvin Jones Jr.,D'Andre Swift,Khalil Herbert,Justin Jefferson,Darrel Williams
BN1,Calvin Ridley,Zack Moss,Mark Andrews,Antonio Brown,Josh Jacobs,Myles Gaskin,Chris Godwin,Antonio Gibson,Courtland Sutton,Michael Carter
BN2,Marquise Brown,Tyler Boyd,Mike Davis,Amari Cooper,Lamar Jackson,Jakobi Meyers,Odell Beckham Jr.,Tua Tagovailoa,Chase Edmonds,Christian Kirk
BN3,Kirk Cousins,Tyler Lockett,Michael Pittman Jr.,Chase Claypool,Jaylen Waddle,Melvin Gordon III,Miles Sanders,Mike Gesicki,Darnell Mooney,Tony Pollard
BN4,Hunter Henry,Ricky Seals-Jones,Jameis Winston,Joe Burrow,Tee Higgins,Dawson Knox,AJ Dillon,A.J. Green,Rob Gronkowski,Darren Waller
BN5,Samaje Perine,Kenyan Drake,Jerry Jeudy,Kalif Raymond,Brandon Aiyuk,Kenny Golladay,Devin Singletary,J.D. McKissic,Carson Wentz,Sterling Shepard
BN6,Salvon Ahmed,Rashod Bateman,Jamaal Williams,Justin Tucker,Ronald Jones II,Jarvis Landry,Alexander Mattison,Saquon Barkley,Mark Ingram II,Russell Gage
BN7,Nyheim Hines,,Baltimore,Minnesota,Zach Ertz,,Daniel Carlson,K.J. Osborn,David Johnson,Kadarius Toney
BN8,,,,,,,,,,
K,Ryan Succop,Harrison Butker,Younghoe Koo,Evan McPherson,Greg Zuerlein,Tyler Bass,Greg Joseph,Matt Gay,Mason Crosby,Matt Prater
DEF,Denver,Arizona,Pittsburgh,Carolina,Tampa Bay,Cincinnati,Buffalo,Los Angeles,Cleveland,San Francisco
