,mark,Hooey,Guy,Matt,Petey B,Pogochamp113,Nate,Patrick,Richard,Scott
QB,Kyler Murray,Lamar Jackson,Ryan Tannehill,Deshaun Watson,Tom Brady,Matthew Stafford,Ryan Fitzpatrick,Cam Newton,Jared Goff,Patrick Mahomes
WR1,DeAndre Hopkins,Justin Jefferson,Davante Adams,JuJu Smith-Schuster,Stefon Diggs,Marquise Brown,Mike Evans,Cooper Kupp,Adam Thielen,Odell Beckham Jr.
WR2,Amari Cooper,Sammy Watkins,Allen Robinson II,Brandin Cooks,Chris Godwin,DJ Chark Jr.,Will Fuller V,Tyreek Hill,Calvin Ridley,DeVante Parker
RB1,David Montgomery,Derrick Henry,James Robinson,Devonta Freeman,Jonathan Taylor,Ezekiel Elliott,Kareem Hunt,Raheem Mostert,Clyde Edwards-Helaire,Todd Gurley II
RB2,David Johnson,,Joe Mixon,Miles Sanders,Antonio Gibson,Ronald Jones II,Mike Davis,Nyheim Hines,Cam Akers,Chris Thompson
TE,Dalton Schultz,Austin Hooper,Jonnu Smith,Robert Tonyan,George Kittle,Mark Andrews,Eric Ebron,Travis Kelce,Evan Engram,Hayden Hurst
W/R/T,Myles Gaskin,Brandon Aiyuk,Robert Woods,Alexander Mattison,Jerry Jeudy,Robby Anderson,Aaron Jones,DJ Moore,Darius Slayton,Kenny Golladay
BN1,Chase Edmonds,Justin Jackson,Hunter Henry,Tyler Lockett,Russell Wilson,Devin Singletary,Zach Ertz,Melvin Gordon III,D'Andre Swift,Diontae Johnson
BN2,Tyler Higbee,Jarvis Landry,Terry McLaurin,Josh Jacobs,DK Metcalf,Dalvin Cook,James Conner,Chris Carson,Boston Scott,Malcolm Brown
BN3,Deebo Samuel,Noah Fant,Kenyan Drake,Alvin Kamara,Jerick McKinnon,Joe Burrow,Julio Jones,A.J. Brown,Mike Gesicki,Jared Cook
BN4,Michael Thomas,Leonard Fournette,Damien Harris,Darren Waller,Henry Ruggs III,Marvin Jones Jr.,Keenan Allen,Mark Ingram II,Ben Roethlisberger,T.Y. Hilton
BN5,Josh Allen,John Brown,Tyler Boyd,Tony Pollard,Tee Higgins,Mecole Hardman,CeeDee Lamb,J.K. Dobbins,Laviska Shenault Jr.,Kerryon Johnson
BN6,Julian Edelman,Adrian Peterson,Jamison Crowder,Latavius Murray,Ke'Shawn Vaughn,A.J. Green,Michael Gallup,N'Keal Harry,New Orleans,Allen Lazard
BN7,Travis Fulgham,Mike Williams,Joshua Kelley,Alshon Jeffery,Chase Claypool,T.J. Hockenson,Benny Snell Jr.,Gardner Minshew II,,Miami
BN8,,Aaron Rodgers,Darrell Henderson Jr.,,,,,,,
K,Harrison Butker,Dan Bailey,,Joey Slye,Justin Tucker,Robbie Gould,Jason Sanders,Michael Badgley,Greg Zuerlein,Rodrigo Blankenship
DEF,Pittsburgh,Baltimore,Washington,Indianapolis,Dallas,Buffalo,New York,New England,Los Angeles,San Francisco
