,mark,Diesel,EB,Marshall,Pogochamp,Chris,Matt,Derek,Trevor,Guy
QB,Kirk Cousins,Ryan Tannehill,Justin Herbert,Josh Allen,Lamar Jackson,Jalen Hurts,Derek Carr,Daniel Jones,Patrick Mahomes,Matthew Stafford
WR1,Robert Woods,Keenan Allen,Mike Williams,Deebo Samuel,DJ Moore,Cole Beasley,Cooper Kupp,Christian Kirk,Adam Thielen,Stefon Diggs
WR2,Brandin Cooks,Davante Adams,CeeDee Lamb,Amari Cooper,Ja'Marr Chase,Jarvis Landry,A.J. Brown,Julio Jones,Justin Jefferson,Kadarius Toney
RB1,Joe Mixon,Najee Harris,Jonathan Taylor,Cordarrelle Patterson,Aaron Jones,Austin Ekeler,Darrell Henderson Jr.,Eli Mitchell,Damien Harris,Michael Carter
RB2,Nyheim Hines,Zack Moss,Javonte Williams,James Conner,Alvin Kamara,Devontae Booker,Boston Scott,Khalil Herbert,Dalvin Cook,Ezekiel Elliott
TE,Hunter Henry,Dalton Schultz,Mark Andrews,Travis Kelce,Tyler Higbee,Dallas Goedert,Jared Cook,Kyle Pitts,Cole Kmet,Darren Waller
W/R/T,Marquise Brown,Nick Chubb,Tyreek Hill,Chase Claypool,Jaylen Waddle,Myles Gaskin,Devin Singletary,Mike Gesicki,Jeremy McNichols,Diontae Johnson
BN1,Derrick Gore,Emmanuel Sanders,Mike Davis,Leonard Fournette,DeVonta Smith,Hunter Renfrow,Noah Fant,Bryan Edwards,Terry McLaurin,Darrel Williams
BN2,Alex Collins,Chuba Hubbard,Michael Pittman Jr.,Mike Evans,Tom Brady,Marvin Jones Jr.,Aaron Rodgers,Saquon Barkley,Courtland Sutton,James Robinson
BN3,Kyler Murray,Tyler Boyd,Jerry Jeudy,Antonio Brown,Josh Jacobs,DeAndre Hopkins,D'Andre Swift,DK Metcalf,Chase Edmonds,Tony Pollard
BN4,T.J. Hockenson,Tyler Lockett,Jamaal Williams,Joe Burrow,Tee Higgins,Melvin Gordon III,Derrick Henry,Kenneth Gainwell,Darnell Mooney,Dak Prescott
BN5,Calvin Ridley,Kenyan Drake,Michael Gallup,Kalif Raymond,Brandon Aiyuk,Kenny Golladay,Chris Godwin,Antonio Gibson,Rob Gronkowski,Carlos Hyde
BN6,Samaje Perine,Rashod Bateman,David Montgomery,George Kittle,Zach Ertz,Jakobi Meyers,Miles Sanders,A.J. Green,Carson Wentz,Van Jefferson Jr.
BN7,Salvon Ahmed,Adrian Peterson,Baltimore,Carolina,Tampa Bay,Christian McCaffrey,Alexander Mattison,J.D. McKissic,Mark Ingram II,Jeff Wilson Jr.
BN8,,,,,,,,,,
K,Daniel Carlson,Harrison Butker,Younghoe Koo,Justin Tucker,Greg Zuerlein,Tyler Bass,Greg Joseph,Matt Gay,Mason Crosby,Nick Folk
DEF,New England,Arizona,Pittsburgh,Dallas,Indianapolis,Miami,Buffalo,Los Angeles,Cleveland,New Orleans
