,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,Kirk Cousins,Ryan Tannehill,Justin Herbert,Josh Allen,Lamar Jackson,Matt Ryan,Aaron Rodgers,Russell Wilson,Patrick Mahomes,Dak Prescott
WR1,Jakobi Meyers,Keenan Allen,Mike Williams,Deebo Samuel,DJ Moore,Cole Beasley,Cooper Kupp,Christian Kirk,Adam Thielen,Stefon Diggs
WR2,Van Jefferson,Davante Adams,CeeDee Lamb,Mike Evans,Jaylen Waddle,Hunter Renfrow,A.J. Brown,DK Metcalf,Justin Jefferson,Diontae Johnson
RB1,Nyheim Hines,Najee Harris,Jonathan Taylor,Leonard Fournette,Aaron Jones,Austin Ekeler,Darrell Henderson Jr.,Eli Mitchell,Dalvin Cook,Ezekiel Elliott
RB2,Alex Collins,Kenyan Drake,Javonte Williams,Cordarrelle Patterson,Josh Jacobs,Myles Gaskin,D'Andre Swift,Antonio Gibson,Mark Ingram II,Michael Carter
TE,T.J. Hockenson,Dalton Schultz,Mark Andrews,Travis Kelce,Tyler Higbee,Dawson Knox,Noah Fant,Kyle Pitts,Pat Freiermuth,Darren Waller
W/R/T,Marquise Brown,Tyler Lockett,Tyreek Hill,D'Ernest Johnson,DeVonta Smith,Christian McCaffrey,Chris Godwin,Mike Gesicki,Terry McLaurin,Darrel Williams
BN1,Elijah Moore,Zack Moss,Mike Davis,James Conner,Alvin Kamara,Dallas Goedert,Devin Singletary,Khalil Herbert,Jeremy McNichols,James Robinson
BN2,Chris Carson,Emmanuel Sanders,Michael Pittman Jr.,Antonio Brown,Ja'Marr Chase,DeAndre Hopkins,Derek Carr,Julio Jones,Damien Harris,Corey Davis
BN3,Brandin Cooks,Chuba Hubbard,Jerry Jeudy,Amari Cooper,Tom Brady,Jalen Hurts,Jared Cook,Saquon Barkley,Courtland Sutton,Matthew Stafford
BN4,Joe Mixon,Rashod Bateman,Jamaal Williams,George Kittle,Tee Higgins,Jarvis Landry,Boston Scott,A.J. Green,Chase Edmonds,Kadarius Toney
BN5,Kyler Murray,Adrian Peterson,Michael Gallup,Chase Claypool,Brandon Aiyuk,Devontae Booker,Miles Sanders,J.D. McKissic,Darnell Mooney,Tony Pollard
BN6,Samaje Perine,Devonta Freeman,David Montgomery,Joe Burrow,Zach Ertz,Marvin Jones Jr.,Alexander Mattison,Russell Gage,Rob Gronkowski,Carlos Hyde
BN7,,Tim Patrick,Baltimore,Carolina,Tampa Bay,Melvin Gordon III,Odell Beckham Jr.,AJ Dillon,Carson Wentz,Rhamondre Stevenson
BN8,,,,,,,,,,
K,Daniel Carlson,Harrison Butker,Younghoe Koo,Justin Tucker,Ryan Succop,Tyler Bass,Greg Joseph,Matt Gay,Mason Crosby,Nick Folk
DEF,New England,Arizona,Pittsburgh,Dallas,Indianapolis,Tennessee,Buffalo,Los Angeles,Cleveland,New Orleans
