,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,Kyler Murray,Ryan Tannehill,Justin Herbert,Josh Allen,Tom Brady,Cam Newton,Aaron Rodgers,Russell Wilson,Patrick Mahomes,Dak Prescott
WR1,Marquise Brown,Tyler Lockett,CeeDee Lamb,Mike Evans,Ja'Marr Chase,Hunter Renfrow,Chris Godwin,DK Metcalf,Justin Jefferson,Diontae Johnson
WR2,Russell Gage,Davante Adams,Tyreek Hill,Deebo Samuel,DJ Moore,DeAndre Hopkins,Cooper Kupp,Jalen Guyton,Terry McLaurin,Stefon Diggs
RB1,Joe Mixon,Najee Harris,David Montgomery,Cordarrelle Patterson,Josh Jacobs,Austin Ekeler,Alexander Mattison,Saquon Barkley,Dalvin Cook,Ezekiel Elliott
RB2,Clyde Edwards-Helaire,Nick Chubb,Javonte Williams,Leonard Fournette,Aaron Jones,JaMycal Hasty,D'Onta Foreman,Jeff Wilson Jr.,Eno Benjamin,James Robinson
TE,Austin Hooper,Dalton Schultz,Mark Andrews,Travis Kelce,Zach Ertz,Dawson Knox,Noah Fant,Kyle Pitts,Rob Gronkowski,Jared Cook
W/R/T,Chase Claypool,Chuba Hubbard,Mike Williams,George Kittle,Alvin Kamara,Van Jefferson,Odell Beckham Jr.,Antonio Gibson,Courtland Sutton,Brandon Aiyuk
BN1,Brandin Cooks,Elijah Moore,Jerry Jeudy,Amari Cooper,Tyler Higbee,Melvin Gordon III,Darrell Henderson Jr.,Julio Jones,Mark Ingram II,Darrel Williams
BN2,T.J. Hockenson,Derek Carr,Jonathan Taylor,James Conner,Sony Michel,Dallas Goedert,Miles Sanders,AJ Dillon,Damien Harris,Matthew Stafford
BN3,Jakobi Meyers,Keenan Allen,Michael Pittman Jr.,Antonio Brown,Jaylen Waddle,Cole Beasley,Devin Singletary,Mike Gesicki,Carson Wentz,Tony Pollard
BN4,Nyheim Hines,Devonta Freeman,Michael Gallup,Ty Johnson,DeVonta Smith,Jalen Hurts,D'Andre Swift,Christian Kirk,Pat Freiermuth,Rhamondre Stevenson
BN5,Dontrell Hilliard,Emmanuel Sanders,Jamison Crowder,D'Ernest Johnson,David Johnson,Jarvis Landry,Sterling Shepard,Kareem Hunt,Adam Thielen,DeVante Parker
BN6,New England,Rashod Bateman,Baltimore,Joe Burrow,Lamar Jackson,J.D. McKissic,Buffalo,Kendrick Bourne,Darnell Mooney,Jermar Jefferson
BN7,,Tim Patrick,San Francisco,Green Bay,Tee Higgins,Tyler Boyd,Los Angeles,Los Angeles,Mike Davis,
BN8,,,,,,,,,,
K,Daniel Carlson,Evan McPherson,Brandon McManus,Justin Tucker,Ryan Succop,Tyler Bass,Greg Joseph,Matt Gay,Chris Boswell,Harrison Butker
DEF,Kansas City,Arizona,Pittsburgh,Dallas,Tampa Bay,Denver,Tennessee,Carolina,New Orleans,Seattle
