,Shake and Bakers,UcanDereklickmyBalls,Mister Robinsons,Hos' Hebdomadal Team,Kittle One Martini,Keep Calm & Kerryon,The Seedy Lambs,Hines 57,Richard's Team,Scott's Team
QB,Kyler Murray,Lamar Jackson,Ryan Tannehill,Deshaun Watson,Jalen Hurts,Matthew Stafford,Josh Allen,Cam Newton,Ben Roethlisberger,Patrick Mahomes
WR1,DeAndre Hopkins,Justin Jefferson,Davante Adams,Brandin Cooks,DK Metcalf,DJ Chark Jr.,Mike Evans,Tyreek Hill,Calvin Ridley,Diontae Johnson
WR2,Amari Cooper,Jarvis Landry,Allen Robinson II,Corey Davis,Stefon Diggs,Robby Anderson,CeeDee Lamb,Cooper Kupp,Adam Thielen,DeVante Parker
RB1,Nick Chubb,Derrick Henry,James Robinson,Alvin Kamara,Austin Ekeler,Dalvin Cook,Aaron Jones,Chris Carson,Clyde Edwards-Helaire,Todd Gurley II
RB2,David Montgomery,Leonard Fournette,Kenyan Drake,Miles Sanders,Jonathan Taylor,Ezekiel Elliott,J.D. McKissic,Nyheim Hines,Cam Akers,Gus Edwards
TE,Austin Hooper,Noah Fant,Dallas Goedert,Darren Waller,Logan Thomas,T.J. Hockenson,Rob Gronkowski,Travis Kelce,Mike Gesicki,Hayden Hurst
W/R/T,Le'Veon Bell,Brandon Aiyuk,Robert Woods,Josh Jacobs,Chris Godwin,Marvin Jones Jr.,Kareem Hunt,A.J. Brown,Darius Slayton,Christian Kirk
BN1,Tony Pollard,Aaron Rodgers,Terry McLaurin,Tyler Lockett,Antonio Gibson,Philip Rivers,Sterling Shepard,Raheem Mostert,Evan Engram,T.Y. Hilton
BN2,Keenan Allen,Adrian Peterson,Giovani Bernard,JuJu Smith-Schuster,Cole Beasley,Marquise Brown,Julio Jones,Damien Harris,Boston Scott,Kenny Golladay
BN3,Justin Herbert,Devontae Booker,Taysom Hill,Tom Brady,Russell Wilson,Antonio Brown,Benny Snell Jr.,DJ Moore,Laviska Shenault Jr.,Allen Lazard
BN4,Emmanuel Sanders,James White,Tyler Boyd,Mike Davis,Chase Claypool,Devin Singletary,James Conner,Melvin Gordon III,D'Andre Swift,Julian Edelman
BN5,Russell Gage,Mike Williams,Zack Moss,Latavius Murray,Tee Higgins,Mark Andrews,Eric Ebron,Phillip Lindsay,Jared Goff,Malcolm Brown
BN6,John Brown,Christian McCaffrey,Frank Gore,Robert Tonyan,J.K. Dobbins,Ronald Jones II,Zach Ertz,Carson Wentz,Greg Zuerlein,Jared Cook
BN7,Jonnu Smith,Sammy Watkins,Deebo Samuel,Carolina,Jerick McKinnon,Wayne Gallman Jr.,,New York,Los Angeles,Jason Myers
BN8,,,,,,,,,,
K,Jason Sanders,Daniel Carlson,Harrison Butker,Tyler Bass,Justin Tucker,Matt Prater,Younghoe Koo,Joey Slye,Zane Gonzalez,Rodrigo Blankenship
DEF,Cleveland,Seattle,Washington,Arizona,Houston,Buffalo,Baltimore,New England,New Orleans,Los Angeles
