,mark,Diesel,EB,Marshall,Pogochamp,Chris,Matt,Derek,Trevor,Guy
QB,Kyler Murray,Ryan Tannehill,Jameis Winston,Matt Ryan,Lamar Jackson,Jalen Hurts,Aaron Rodgers,Tua Tagovailoa,Patrick Mahomes,Matthew Stafford
WR1,Marquise Brown,Davante Adams,Tyreek Hill,Deebo Samuel,DJ Moore,DeAndre Hopkins,Cooper Kupp,Allen Robinson II,Terry McLaurin,Corey Davis
WR2,Robert Woods,Tyler Lockett,Michael Pittman Jr.,Mike Evans,Ja'Marr Chase,Jakobi Meyers,A.J. Brown,DK Metcalf,Courtland Sutton,Darius Slayton
RB1,Joe Mixon,Chuba Hubbard,Jonathan Taylor,Leonard Fournette,Aaron Jones,Devontae Booker,Derrick Henry,Antonio Gibson,Chase Edmonds,Darrel Williams
RB2,D'Ernest Johnson,Kenyan Drake,Mike Davis,Cordarrelle Patterson,Alvin Kamara,Myles Gaskin,Darrell Henderson Jr.,Eli Mitchell,Damien Harris,Michael Carter
TE,T.J. Hockenson,Ricky Seals-Jones,Mark Andrews,Travis Kelce,Tyler Higbee,Dallas Goedert,Noah Fant,Kyle Pitts,Cole Kmet,O.J. Howard
W/R/T,Calvin Ridley,Tyler Boyd,Tim Patrick,James Conner,Josh Jacobs,Melvin Gordon III,D'Andre Swift,Mike Gesicki,Darnell Mooney,Christian Kirk
BN1,Brandin Cooks,Emmanuel Sanders,Jerry Jeudy,Antonio Brown,DeVonta Smith,Austin Ekeler,Chris Godwin,A.J. Green,Justin Jefferson,Ezekiel Elliott
BN2,Alex Collins,Dalton Schultz,Jamaal Williams,Amari Cooper,Jaylen Waddle,Dawson Knox,Odell Beckham Jr.,DeVante Parker,Dalvin Cook,James Robinson
BN3,Damien Williams,Zack Moss,CeeDee Lamb,Chase Claypool,Tom Brady,Marvin Jones Jr.,Miles Sanders,Khalil Herbert,Adam Thielen,Stefon Diggs
BN4,Julio Jones,Najee Harris,Mike Williams,Josh Allen,Tee Higgins,Cole Beasley,AJ Dillon,J.D. McKissic,Rob Gronkowski,Diontae Johnson
BN5,Kirk Cousins,Keenan Allen,Justin Herbert,Joe Burrow,Brandon Aiyuk,Kenny Golladay,Devin Singletary,Mecole Hardman,David Johnson,Dak Prescott
BN6,Hunter Henry,Nick Chubb,Javonte Williams,New Orleans,Ronald Jones II,Jarvis Landry,Alexander Mattison,Kenneth Gainwell,Josh Gordon,Tony Pollard
BN7,Rashaad Penny,,Pittsburgh,Minnesota,Zach Ertz,Tyler Bass,Buffalo,Saquon Barkley,Carson Wentz,Jared Cook
BN8,,,,,,,,,,
K,Ryan Succop,Harrison Butker,Younghoe Koo,Justin Tucker,Greg Zuerlein,Nick Folk,Daniel Carlson,Matt Gay,Mason Crosby,Matt Prater
DEF,Denver,Arizona,Baltimore,Carolina,Tampa Bay,New England,Green Bay,Los Angeles,Cleveland,San Francisco
