,mark,Diesel,EB,Marshall,Pogochamp,Chris,Matt,Derek,Trevor,Guy
QB,Kyler Murray,Ryan Tannehill,Justin Herbert,Josh Allen,Lamar Jackson,Jalen Hurts,Aaron Rodgers,Russell Wilson,Patrick Mahomes,Dak Prescott
WR1,Robert Woods,Davante Adams,Mike Williams,Deebo Samuel,DJ Moore,DeAndre Hopkins,Chris Godwin,Allen Robinson II,Adam Thielen,Diontae Johnson
WR2,Brandin Cooks,Keenan Allen,Tyreek Hill,Mike Evans,Ja'Marr Chase,Marvin Jones Jr.,Cooper Kupp,DK Metcalf,Terry McLaurin,Corey Davis
RB1,Clyde Edwards-Helaire,Najee Harris,Jonathan Taylor,Leonard Fournette,Aaron Jones,Austin Ekeler,Derrick Henry,Antonio Gibson,Chase Edmonds,Ezekiel Elliott
RB2,Damien Williams,Nick Chubb,Mike Davis,Cordarrelle Patterson,Alvin Kamara,Melvin Gordon III,Darrell Henderson Jr.,Saquon Barkley,Dalvin Cook,James Robinson
TE,T.J. Hockenson,Dalton Schultz,Mark Andrews,Travis Kelce,Tyler Higbee,Dawson Knox,Noah Fant,Kyle Pitts,Cameron Brate,Darren Waller
W/R/T,Marquise Brown,Tyler Lockett,CeeDee Lamb,Antonio Brown,DeVonta Smith,Jakobi Meyers,A.J. Brown,Kareem Hunt,Justin Jefferson,Stefon Diggs
BN1,Calvin Ridley,Chuba Hubbard,David Montgomery,Amari Cooper,Jaylen Waddle,Myles Gaskin,D'Andre Swift,Ty'Son Williams,Rob Gronkowski,Latavius Murray
BN2,Joe Mixon,Tyler Boyd,Javonte Williams,James Conner,Tom Brady,Dallas Goedert,Odell Beckham Jr.,J.D. McKissic,Damien Harris,Nyheim Hines
BN3,Chris Carson,Justin Fields,Michael Pittman Jr.,George Kittle,JuJu Smith-Schuster,Cole Beasley,Miles Sanders,Mecole Hardman,Trevor Lawrence,Robby Anderson
BN4,Julio Jones,Kenyan Drake,Jameis Winston,Quintez Cephus,Tee Higgins,Kenny Golladay,AJ Dillon,A.J. Green,Darnell Mooney,Tony Pollard
BN5,Kirk Cousins,Zack Moss,Kadarius Toney,Chase Claypool,Josh Jacobs,Christian McCaffrey,Devin Singletary,Kenneth Gainwell,Courtland Sutton,Trey Sermon
BN6,Alex Collins,Laviska Shenault Jr.,Jamaal Williams,Joe Burrow,Brandon Aiyuk,Indianapolis,Alexander Mattison,Eli Mitchell,David Johnson,Matthew Stafford
BN7,Jared Cook,,Baltimore,Carolina,Ronald Jones II,,Marlon Mack,Los Angeles,Josh Gordon,Michael Carter
BN8,,,,,,,,,,
K,Ryan Succop,Harrison Butker,Younghoe Koo,Justin Tucker,Greg Zuerlein,Tyler Bass,Daniel Carlson,Matt Gay,Mason Crosby,Matt Prater
DEF,Denver,Arizona,Pittsburgh,Minnesota,Tampa Bay,New England,Buffalo,Los Angeles,Cleveland,Dallas
