,Shake and Bakers,UcanDereklickmyBalls,Mister Robinsons,Hos' Hebdomadal Team,Kittle One Martini,Keep Calm & Kerryon,The Seedy Lambs,Hines 57,Richard's Team,Scott's Team
QB,Kyler Murray,Lamar Jackson,Ryan Tannehill,Deshaun Watson,Russell Wilson,Matthew Stafford,Matt Ryan,Cam Newton,Ben Roethlisberger,Patrick Mahomes
WR1,Keenan Allen,Justin Jefferson,Davante Adams,Tyler Lockett,DK Metcalf,Robby Anderson,Julio Jones,A.J. Brown,Adam Thielen,Diontae Johnson
WR2,DeAndre Hopkins,Jarvis Landry,Terry McLaurin,JuJu Smith-Schuster,Tee Higgins,DJ Chark Jr.,Will Fuller V,Tyreek Hill,Calvin Ridley,DeVante Parker
RB1,Chase Edmonds,Derrick Henry,James Robinson,Alvin Kamara,Antonio Gibson,Dalvin Cook,James Conner,Damien Harris,Clyde Edwards-Helaire,Todd Gurley II
RB2,Nick Chubb,Leonard Fournette,Giovani Bernard,Miles Sanders,Kalen Ballage,Ezekiel Elliott,Aaron Jones,Nyheim Hines,Boston Scott,Gus Edwards
TE,Hunter Henry,Noah Fant,Dallas Goedert,Darren Waller,Logan Thomas,T.J. Hockenson,Rob Gronkowski,Travis Kelce,Mike Gesicki,Hayden Hurst
W/R/T,Michael Thomas,Mike Williams,Duke Johnson,Josh Jacobs,Chase Claypool,Marvin Jones Jr.,Kareem Hunt,Cooper Kupp,Cam Akers,T.Y. Hilton
BN1,Jimmy Graham,Curtis Samuel,Tyler Boyd,Brandin Cooks,Chris Godwin,Devin Singletary,CeeDee Lamb,DJ Moore,Laviska Shenault Jr.,Kenny Golladay
BN2,Justin Herbert,Aaron Rodgers,Robert Woods,Corey Davis,Jakobi Meyers,Mark Andrews,Eric Ebron,Melvin Gordon III,D'Andre Swift,Allen Lazard
BN3,Amari Cooper,Adrian Peterson,Jonnu Smith,Alexander Mattison,Stefon Diggs,Marquise Brown,Mike Evans,Chris Carson,Evan Engram,Julian Edelman
BN4,David Montgomery,Brandon Aiyuk,Allen Robinson II,Latavius Murray,Jerick McKinnon,Ronald Jones II,Josh Allen,Phillip Lindsay,Jared Goff,Malcolm Brown
BN5,Jamaal Williams,Justin Jackson,Darrell Henderson Jr.,Mike Davis,Jonathan Taylor,A.J. Green,Benny Snell Jr.,Tyler Higbee,Darius Slayton,Jared Cook
BN6,Salvon Ahmed,Christian McCaffrey,Zack Moss,Tom Brady,Jerry Jeudy,Joe Burrow,J.D. McKissic,Carson Wentz,Greg Zuerlein,Christian Kirk
BN7,Josh Reynolds,Jordan Reed,Kenyan Drake,Arizona,,Chicago,Seattle,Raheem Mostert,Los Angeles,Jason Myers
BN8,,,,,,,,,,
K,Jason Sanders,Matt Prater,Harrison Butker,Joey Slye,Justin Tucker,Ryan Succop,Younghoe Koo,Wil Lutz,Zane Gonzalez,Rodrigo Blankenship
DEF,Pittsburgh,Baltimore,Washington,Miami,Minnesota,Tampa Bay,Cleveland,New England,New Orleans,Los Angeles
