,Shake and Bakers,UcanDereklickmyBalls,Mister Robinsons,Hos' Hebdomadal Team,Kittle One Martini,Keep Calm & Kerryon,The Seedy Lambs,Hines 57,Richard's Team,Scott's Team
QB,38.1,27.32,17.3,24.16,32.92,18.4,16.38,2.82,15.62,12.0
WR1,15.5,10.96,44.6,13.0,10.8,3.6,5.7,11.9,19.9,0.0
WR2,22.5,1.4,22.0,53.0,4.3,13.4,17.7,17.5,4.3,2.3
RB1,8.6,15.2,31.7,6.1,18.8,6.1,19.2,5.1,13.3,22.2
RB2,16.4,10.5,20.6,22.8,-0.1,10.6,14.1,12.0,14.8,11.7
TE,4.2,6.8,5.3,17.0,10.5,16.9,11.0,6.1,10.9,12.8
W/R/T,24.3,17.5,27.74,17.5,0.8,6.7,12.5,27.3,18.2,17.4
BN1,0.0,4.0,11.0,5.2,23.8,0.0,0.0,25.3,0.0,0.0
BN2,0.0,0.0,5.5,0.8,0.0,0.0,17.52,0.0,0.0,29.0
BN3,11.9,0.0,1.9,0.0,4.0,0.0,0.1,0.0,16.9,12.2
BN4,0.0,0.0,5.1,3.2,6.5,34.64,6.2,0.0,0.0,0.0
BN5,12.2,0.0,0.0,6.6,18.8,13.0,7.1,19.02,7.4,0.0
BN6,38.48,15.7,9.6,15.5,1.3,9.0,17.2,6.0,1.0,0.0
BN7,12.3,11.0,10.3,19.16,0.0,15.2,7.0,7.9,,0.0
BN8,,0.0,,,,,,,,
K,14.0,16.0,9.0,7.0,5.0,10.0,2.0,11.0,4.0,12.0
DEF,2.0,,6.0,24.0,9.0,14.0,5.0,6.0,15.0,6.0
TotalPoints,145.6,105.67999999999999,184.24000000000004,184.56,92.02,99.7,103.58,99.72,116.02,96.4
