,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,34.56,15.18,27.06,17.2,18.0,28.76,3.32,7.36,33.28,28.42
WR1,12.4,10.6,16.0,38.9,0.0,26.3,14.9,37.1,30.2,15.9
WR2,10.1,19.0,12.54,5.4,15.4,10.4,23.5,9.5,10.2,14.6
RB1,10.2,5.9,18.8,2.0,17.0,11.7,10.7,11.8,17.6,5.9
RB2,12.7,22.1,10.2,5.3,4.2,27.7,17.3,17.1,20.4,8.4
TE,25.7,9.8,5.0,25.6,11.8,12.0,12.2,7.1,2.8,26.5
W/R/T,25.0,26.0,23.4,11.8,18.1,19.4,23.8,18.4,14.6,12.7
BN1,25.0,6.2,11.7,0.0,-0.6,12.6,6.1,3.7,29.0,26.7
BN2,5.9,6.7,13.2,0.0,20.9,20.8,24.4,0.0,22.08,14.2
BN3,1.6,12.0,5.1,10.9,9.2,29.62,15.7,3.0,7.6,8.3
BN4,18.2,0.1,14.38,10.0,15.8,17.6,0.0,0.8,2.4,0.0
BN5,12.9,10.0,22.2,31.9,19.1,12.0,3.6,4.9,11.8,24.34
BN6,19.4,7.6,5.9,23.7,29.16,14.2,11.0,4.5,8.5,10.4
BN7,0.2,2.4,14.0,18.64,16.1,0.7,0.0,0.72,0.0,2.4
BN8,,,,,,,,,,
K,4.0,10.0,6.0,11.0,12.0,11.0,7.0,12.0,3.0,14.0
DEF,8.0,7.0,4.0,10.0,2.0,5.0,2.0,8.0,4.0,-4.0
TotalPoints,142.66000000000003,125.58,123.0,127.2,98.5,152.26000000000002,114.72,128.36,136.08,122.42000000000002
