,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,11.06,23.2,15.82,29.46,27.2,11.22,15.66,12.62,15.0,24.2
WR1,20.7,0.0,27.4,23.1,9.9,8.6,24.5,5.1,6.5,15.0
WR2,20.3,19.7,3.9,12.8,13.1,21.0,31.5,22.3,19.8,15.8
RB1,25.1,14.1,21.2,7.3,24.0,24.4,6.8,19.7,14.0,11.3
RB2,4.4,21.0,6.8,18.2,16.6,17.5,22.3,2.7,7.8,4.9
TE,18.9,3.1,7.9,4.7,5.5,13.2,2.8,3.3,5.4,4.5
W/R/T,3.6,7.9,17.2,14.2,2.5,8.5,8.1,8.8,4.1,17.0
BN1,0.0,11.8,0.0,0.0,0.0,8.5,28.0,8.4,6.0,32.2
BN2,0.0,19.74,11.6,26.2,0.0,9.6,1.6,16.2,15.9,8.6
BN3,13.16,26.2,30.6,10.1,6.9,19.2,0.0,9.8,12.4,3.7
BN4,4.3,3.2,10.24,21.26,13.7,0.0,7.8,10.0,0.0,0.0
BN5,3.6,0.0,7.9,0.0,10.5,0.0,3.9,17.3,20.34,6.5
BN6,3.8,0.0,0.0,0.0,2.9,10.0,2.0,0.0,7.2,0.0
BN7,6.4,,0.0,8.0,8.2,,0.0,3.0,1.3,7.36
BN8,,,,,,,,,,
K,3.0,8.0,10.0,7.0,8.0,10.0,12.0,8.0,6.0,3.0
DEF,17.0,1.0,10.0,11.0,0.0,7.0,12.0,7.0,3.0,6.0
TotalPoints,124.06,98.0,120.22,127.76,106.80000000000001,121.42,135.65999999999997,89.52,81.6,101.7
