,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,16.52,8.18,21.72,28.7,12.24,9.86,26.28,19.48,22.34,25.3
WR1,13.1,15.5,15.6,20.8,14.3,9.6,4.7,2.3,13.26,20.4
WR2,13.5,18.4,9.3,4.6,6.9,21.6,18.6,3.3,9.1,18.5
RB1,32.3,6.7,19.7,44.1,19.2,21.9,3.9,20.0,14.3,12.5
RB2,1.7,5.9,10.4,27.5,7.5,3.5,17.3,9.3,12.2,16.9
TE,12.5,15.6,16.5,2.3,1.3,1.0,4.2,4.6,19.3,5.3
W/R/T,11.2,12.6,7.9,4.2,28.7,9.8,7.4,23.6,3.7,12.5
BN1,14.8,7.0,0.0,0.0,0.0,19.2,1.7,4.7,0.0,0.0
BN2,0.0,9.12,4.5,0.0,0.0,18.2,5.8,0.0,14.0,0.0
BN3,3.9,5.8,20.1,0.0,13.4,0.0,10.8,27.8,0.0,22.98
BN4,0.0,0.6,0.0,0.0,4.2,15.1,19.1,0.9,23.2,0.0
BN5,13.5,7.1,7.1,0.0,2.3,8.3,0.0,0.0,0.0,16.8
BN6,18.3,4.6,13.3,17.4,23.4,4.4,12.2,1.0,0.0,4.6
BN7,,9.3,0.0,5.0,9.4,6.1,12.22,2.0,17.5,9.0
BN8,,,,,,,,,,
K,21.0,13.0,3.0,13.0,8.0,7.0,2.0,8.0,5.0,21.0
DEF,14.0,6.0,11.0,3.0,12.0,-2.0,11.0,3.0,4.0,5.0
TotalPoints,135.82,101.88,115.12000000000002,148.2,110.14,82.26,95.38000000000001,93.58,103.2,137.39999999999998
