,mark,Hooey,Guy,Matt,Petey B,Pogochamp113,Nate,Patrick,Richard,Scott
QB,33.14,17.56,28.52,15.7,34.42,17.16,39.8,35.58,23.98,27.48
WR1,20.8,18.2,6.6,11.8,29.3,9.2,4.4,21.8,6.1,5.8
WR2,25.9,2.1,6.3,19.7,19.2,12.3,23.4,20.0,29.9,17.4
RB1,26.3,24.8,12.6,38.4,18.8,22.2,45.6,19.8,2.8,6.1
RB2,7.0,8.4,11.5,13.5,19.0,17.1,24.1,18.7,13.0,4.7
TE,28.4,17.7,14.3,28.5,7.0,3.9,9.2,24.0,12.5,9.3
W/R/T,16.0,4.1,11.3,20.1,10.2,9.6,16.6,13.0,1.3,7.5
BN1,34.5,0.0,25.5,3.7,1.4,12.4,0.0,15.48,12.2,23.2
BN2,0.0,7.4,7.6,6.4,0.0,7.3,17.5,0.0,14.38,16.3
BN3,21.7,27.6,3.7,14.5,9.68,24.54,20.1,15.7,6.3,5.3
BN4,0.0,19.2,21.0,1.9,12.2,5.9,7.8,16.4,27.0,11.7
BN5,5.5,8.0,24.4,5.3,9.7,10.7,20.2,9.6,7.3,0.0
BN6,13.3,3.4,9.4,2.6,4.3,10.2,-0.9,7.1,2.8,9.2
BN7,14.2,0.0,13.6,12.6,,17.9,1.9,1.4,7.0,0.0
BN8,,,,,,,,,,
K,17.0,3.0,13.0,13.0,16.0,8.0,6.0,9.0,11.0,15.0
DEF,13.0,15.0,5.0,12.0,5.0,2.0,15.0,4.0,4.0,5.0
