,Shake and Bakers,UcanDereklickmyBalls,Mister Robinsons,Hos' Hebdomadal Team,Kittle One Martini,Keep Calm & Kerryon,The Seedy Lambs,Hines 57,Richard's Team,Scott's Team
QB,27.3,14.5,7.94,26.86,25.48,5.32,14.44,22.1,25.36,30.7
WR1,25.1,5.3,19.0,8.4,20.6,19.8,10.9,11.6,29.3,11.42
WR2,4.1,10.4,17.1,6.8,27.3,4.6,15.1,18.3,21.6,13.0
RB1,12.3,19.3,10.0,19.9,15.4,23.5,18.3,19.9,11.0,25.0
RB2,18.9,14.4,15.4,22.5,10.1,19.9,15.3,5.0,6.1,7.2
TE,3.2,10.7,12.3,15.8,8.4,17.6,1.6,24.8,9.5,2.8
W/R/T,4.2,7.4,5.6,23.9,2.5,4.3,29.9,19.3,20.9,0.8
BN1,0.0,12.8,21.0,5.2,0.0,0.0,15.8,0.0,0.0,2.1
BN2,18.32,0.0,13.2,7.7,0.0,0.0,20.4,0.0,0.3,3.4
BN3,1.6,0.0,0.0,16.6,0.0,7.0,0.0,14.9,14.1,13.2
BN4,0.0,0.0,0.0,3.6,14.12,0.0,0.0,21.2,21.36,12.9
BN5,20.1,0.0,8.2,0.0,19.8,15.5,11.3,5.7,14.9,0.0
BN6,20.2,27.9,25.6,16.7,10.2,0.0,1.9,8.5,3.0,0.0
BN7,2.8,0.0,4.8,11.0,0.5,19.5,3.0,0.0,,0.0
BN8,,,,,,,,,,
K,6.0,11.0,3.0,11.0,10.0,5.0,15.0,3.0,14.0,11.0
DEF,8.0,26.0,6.0,6.0,9.0,-4.0,-1.0,0.0,12.0,-2.0
TotalPoints,109.10000000000002,119.0,96.34,141.16,128.78,96.02,119.53999999999999,124.0,149.76,99.92
