,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,30.82,12.36,26.28,11.7,29.62,13.98,15.84,17.74,13.56,12.22
WR1,10.5,22.4,19.2,16.9,10.2,19.2,30.2,11.0,35.6,9.1
WR2,8.4,19.8,4.2,12.6,3.5,11.2,26.9,6.7,5.2,30.5
RB1,9.4,15.7,24.3,22.2,24.0,17.4,21.4,13.4,17.1,2.5
RB2,11.2,20.7,9.0,19.1,21.9,6.9,3.6,17.4,1.8,6.7
TE,14.9,9.3,9.0,5.7,9.8,28.5,7.3,8.8,21.8,7.1
W/R/T,7.4,20.6,17.0,39.6,18.0,16.1,17.2,22.1,3.5,8.5
BN1,0.0,0.0,28.1,0.0,0.0,2.1,0.0,0.0,11.12,0.0
BN2,20.2,0.0,16.0,6.1,0.0,0.0,10.8,11.6,0.0,11.0
BN3,0.0,0.0,29.8,0.0,0.0,0.0,0.0,1.4,3.6,3.5
BN4,8.6,5.2,11.7,3.5,2.0,3.4,0.0,3.7,7.6,24.0
BN5,1.8,0.0,14.6,0.0,18.62,0.0,0.0,2.4,1.0,15.4
BN6,0.0,0.0,10.0,18.6,0.0,13.8,17.96,0.0,0.0,7.8
BN7,,1.9,9.0,0.0,28.8,0.0,0.0,0.3,7.7,10.7
BN8,,,,,,,,,,
K,11.0,5.0,5.0,7.0,6.0,4.0,10.0,15.0,9.0,7.0
DEF,8.0,11.0,2.0,17.0,11.0,18.0,3.0,10.0,0.0,5.0
TotalPoints,111.62,136.86,115.98,151.8,134.01999999999998,135.28,135.44,122.13999999999999,107.56,88.62
