,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,25.24,13.22,35.28,18.16,20.28,30.78,33.5,8.48,8.5,4.64
WR1,7.9,20.2,4.4,16.4,16.0,6.3,9.8,4.5,37.2,18.3
WR2,3.8,30.5,20.0,20.3,13.0,7.5,19.2,7.1,21.3,23.1
RB1,24.3,16.9,53.4,13.4,11.1,41.5,22.6,7.5,22.5,7.5
RB2,3.6,20.0,7.7,20.9,6.4,24.9,6.8,15.7,15.3,11.8
TE,4.5,11.3,15.3,18.8,28.8,11.2,6.5,5.9,11.1,18.6
W/R/T,14.4,15.5,20.7,13.4,20.6,18.6,2.2,10.0,7.5,12.8
BN1,11.1,3.9,0.0,0.0,0.0,14.0,7.4,0.0,22.2,3.6
BN2,0.0,0.5,5.1,2.6,0.0,0.0,7.3,0.0,0.0,6.5
BN3,0.0,5.6,4.3,0.0,0.0,14.2,0.0,11.6,0.0,0.0
BN4,3.1,0.0,0.0,0.0,10.1,3.0,0.0,11.8,0.0,11.0
BN5,0.0,5.9,1.1,9.02,0.0,9.2,0.0,0.0,23.1,9.0
BN6,15.6,0.0,9.4,5.0,3.5,0.0,0.5,0.0,13.1,0.0
BN7,,26.16,2.0,8.0,3.6,9.6,0.0,,10.04,8.5
BN8,,,,,,,,,,
K,8.0,9.0,0.0,11.0,13.0,1.0,10.0,12.0,9.0,16.0
DEF,28.0,8.0,9.0,5.0,12.0,0.0,-4.0,-1.0,8.0,11.0
TotalPoints,119.74,144.62,165.78,137.36,141.18,141.78,106.6,70.18,140.39999999999998,123.74
