,mark,Diesel,EB,Marshall,Pogochamp,Chris,Matt,Derek,Trevor,Guy
QB,22.62,18.82,22.56,21.02,11.06,28.18,24.12,29.02,32.72,27.02
WR1,15.0,12.4,16.5,35.7,31.9,10.7,8.5,47.6,7.6,18.4
WR2,9.7,10.6,3.3,15.9,13.7,5.4,11.4,9.3,30.3,24.2
RB1,4.1,21.1,22.6,16.9,10.9,29.5,25.7,15.5,17.9,20.3
RB2,13.7,11.5,20.4,34.6,12.0,0.3,8.9,29.6,6.4,20.6
TE,8.2,10.4,11.7,6.3,7.6,0.0,16.6,9.0,4.9,15.0
W/R/T,14.8,9.1,2.1,14.5,6.3,16.8,5.1,16.6,20.4,1.1
BN1,19.4,6.4,10.6,8.0,19.44,3.6,7.7,0.0,0.0,21.1
BN2,0.0,20.8,8.9,20.6,19.2,17.6,16.6,16.9,4.6,9.9
BN3,6.6,8.26,21.28,12.3,3.1,8.7,10.7,6.1,17.76,6.7
BN4,19.1,0.2,11.9,13.3,0.0,0.0,9.6,17.7,18.5,8.9
BN5,3.2,0.0,5.0,0.0,10.7,16.6,2.0,6.9,7.7,20.3
BN6,11.12,12.1,5.0,22.32,2.5,15.44,3.3,20.9,7.8,11.9
BN7,10.4,1.0,,-4.0,8.5,2.0,,,0.0,16.5
BN8,,,,,,,,,,
K,10.0,6.0,6.0,13.0,6.0,16.0,2.0,9.0,9.0,15.0
DEF,3.0,6.0,11.0,7.0,9.0,9.0,23.0,-1.0,2.0,3.0
