,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,19.54,23.48,16.62,37.22,20.28,22.54,19.04,15.62,24.9,20.12
WR1,6.8,31.2,22.7,10.2,20.5,5.1,19.6,9.7,17.0,12.2
WR2,14.1,19.0,9.5,1.8,22.5,12.2,30.6,4.7,10.2,1.8
RB1,16.2,28.2,7.5,6.4,17.6,22.7,19.4,17.4,14.5,26.6
RB2,10.4,8.4,8.2,16.2,20.8,6.0,8.5,21.4,3.1,18.9
TE,3.0,1.4,15.9,17.4,15.0,12.2,3.5,5.5,9.5,10.4
W/R/T,7.7,7.1,33.2,17.1,5.5,10.4,0.3,2.2,26.8,9.1
BN1,16.9,13.6,11.0,18.6,0.0,10.4,8.6,27.5,0.0,0.0
BN2,14.7,3.92,13.2,5.6,28.68,15.1,23.7,5.8,1.6,25.4
BN3,20.7,8.7,30.84,0.0,0.0,13.52,0.0,12.5,9.46,7.5
BN4,8.3,10.9,13.3,18.3,14.5,13.9,13.7,16.2,1.9,11.4
BN5,1.7,3.6,7.0,18.6,1.1,3.3,4.6,14.8,8.7,29.52
BN6,25.12,0.6,11.0,18.58,5.8,8.6,3.6,6.4,1.1,10.9
BN7,0.0,0.0,2.0,0.0,17.8,18.4,0.8,,0.5,2.4
BN8,,,,,,,,,,
K,11.0,6.0,6.0,17.0,5.0,14.0,6.0,11.0,16.0,7.0
DEF,19.0,-4.0,3.0,8.0,0.0,3.0,7.0,3.0,20.0,21.0
TotalPoints,107.74000000000001,120.78000000000002,122.62,131.32,127.17999999999999,108.14000000000001,113.94000000000001,90.52,142.0,127.12
