,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,22.92,13.5,17.68,23.9,27.4,12.96,20.32,27.84,20.86,23.04
WR1,3.8,30.6,10.7,17.2,55.6,20.6,21.5,30.9,11.8,10.2
WR2,8.0,14.4,10.2,5.6,5.9,0.0,6.1,13.9,13.1,17.1
RB1,15.6,29.6,18.4,7.2,15.6,20.2,32.5,10.2,4.3,4.0
RB2,0.0,5.8,21.1,3.7,21.0,10.2,5.9,0.0,0.3,7.3
TE,4.8,11.4,14.9,4.5,11.1,13.1,6.7,8.9,18.5,1.9
W/R/T,4.7,12.1,8.1,13.4,18.0,10.3,35.4,21.0,9.0,13.4
BN1,19.6,15.8,4.2,10.8,9.2,1.6,14.9,0.0,0.0,0.0
BN2,0.0,0.0,12.6,34.84,8.4,0.0,9.1,3.1,17.7,0.0
BN3,21.3,12.2,0.0,0.0,18.9,0.5,5.3,9.1,10.92,25.7
BN4,5.8,8.7,19.2,14.7,0.0,6.2,19.2,0.0,7.2,16.26
BN5,16.8,0.0,14.0,2.4,0.0,8.9,23.0,22.3,0.0,8.8
BN6,12.0,12.8,21.0,1.0,10.4,0.0,24.6,0.0,19.9,8.6
BN7,,0.0,,,9.7,13.6,6.0,14.3,12.7,
BN8,,,,,,,,,,
K,13.0,11.0,9.0,15.0,8.0,3.0,9.0,2.0,17.0,7.0
DEF,3.0,3.0,9.0,6.0,3.0,-1.0,8.0,13.0,15.0,5.0
TotalPoints,75.82,131.39999999999998,119.08,96.5,165.6,89.36,145.42000000000002,127.74000000000001,109.85999999999999,88.94
