,Shake and Bakers,UcanDereklickmyBalls,Mister Robinsons,Hos' Hebdomadal Team,Kittle One Martini,Keep Calm & Kerryon,The Seedy Lambs,Hines 57,Richard's Team,Scott's Team
QB,16.38,21.32,18.34,26.76,19.9,11.8,0.0,0.0,25.48,20.22
WR1,0.0,14.5,43.2,7.4,11.9,16.2,40.1,10.5,17.3,21.7
WR2,12.8,0.0,20.3,24.6,0.0,16.9,22.7,14.6,23.7,0.0
RB1,17.6,9.8,0.0,56.2,15.8,16.5,12.8,10.9,0.0,8.0
RB2,20.1,15.6,13.0,18.4,19.4,17.9,23.2,11.4,0.0,14.2
TE,0.0,12.5,6.8,16.2,13.3,6.3,19.8,22.8,9.4,15.7
W/R/T,16.1,4.1,8.9,6.9,0.0,4.9,17.5,8.3,4.6,14.6
BN1,2.8,26.14,0.0,29.92,19.4,0.68,15.7,0.0,14.0,9.0
BN2,16.72,1.0,20.1,0.0,9.9,12.5,0.0,0.0,1.7,0.0
BN3,33.9,3.9,11.02,8.8,9.4,13.5,23.4,8.7,15.8,3.4
BN4,13.5,0.0,0.0,27.1,4.6,0.0,14.2,7.9,9.0,0.0
BN5,6.3,9.4,0.0,12.6,21.9,13.6,0.0,0.0,10.66,4.5
BN6,7.0,0.0,6.3,2.7,13.7,0.0,6.3,0.0,13.0,11.2
BN7,6.0,2.4,0.0,21.0,3.6,7.3,,2.0,6.0,10.0
BN8,,,,,,,,,,
K,15.0,13.0,7.0,0.0,9.0,1.0,2.0,2.0,0.0,6.0
DEF,9.0,9.0,9.0,6.0,11.0,0.0,10.0,0.0,1.0,7.0
TotalPoints,106.97999999999999,99.82,126.54,162.46,100.3,91.5,148.1,80.5,81.48,107.42
