,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,17.46,18.62,13.0,21.94,16.42,2.68,11.48,7.64,36.24,26.34
WR1,14.9,17.8,7.3,30.3,6.4,3.5,23.2,12.8,11.5,30.2
WR2,8.4,14.8,28.6,14.2,10.1,17.6,3.3,5.6,22.9,13.3
RB1,4.9,17.3,24.6,17.2,12.6,14.9,8.1,9.1,20.8,20.76
RB2,5.9,5.1,6.9,4.9,8.6,5.5,16.5,21.8,20.8,18.2
TE,0.0,2.4,18.3,19.9,11.0,2.7,10.9,10.0,6.1,6.4
W/R/T,9.7,4.3,27.5,22.7,22.6,26.1,12.7,0.0,11.9,29.4
BN1,13.4,8.7,1.8,15.4,0.0,4.8,11.9,0.0,1.8,18.4
BN2,0.0,7.1,12.1,0.0,0.0,0.0,19.24,0.0,0.0,12.3
BN3,0.0,8.7,11.1,9.1,15.0,19.42,2.0,0.0,4.9,11.82
BN4,0.0,14.0,0.0,16.0,0.0,6.6,12.5,1.4,0.0,0.0
BN5,0.0,3.0,7.2,0.0,5.6,0.0,0.0,7.9,0.0,15.8
BN6,0.0,8.8,0.0,0.0,8.6,5.5,5.0,0.0,0.0,1.4
BN7,,4.4,5.0,12.0,6.0,9.3,3.8,26.8,7.1,27.4
BN8,,,,,,,,,,
K,2.0,12.0,3.0,5.0,7.0,9.0,10.0,4.0,5.0,9.0
DEF,11.0,3.0,5.0,23.0,14.0,6.0,12.0,1.0,-2.0,2.0
TotalPoints,74.25999999999999,95.32,134.2,159.14,108.72,87.98,108.18,71.94,133.23999999999998,155.60000000000002
