,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,19.42,16.54,24.9,36.22,30.12,14.82,29.64,21.2,20.32,11.94
WR1,9.1,27.2,14.6,21.1,25.3,28.7,20.5,8.3,20.5,15.3
WR2,10.4,34.1,11.6,12.9,14.4,10.4,31.3,17.7,0.0,14.4
RB1,8.8,25.4,14.1,13.9,10.0,16.4,2.7,18.5,35.2,9.0
RB2,19.2,9.5,21.3,23.2,21.5,4.0,14.2,5.6,0.0,0.4
TE,14.0,1.4,28.5,5.7,9.2,19.0,9.1,11.1,11.2,8.8
W/R/T,17.5,9.3,12.1,34.1,24.5,14.8,19.7,4.1,1.9,18.6
BN1,18.1,0.0,9.7,16.1,0.0,23.1,0.0,7.3,0.0,12.9
BN2,0.0,11.52,0.0,33.5,7.9,0.0,0.0,7.1,0.0,23.48
BN3,0.0,0.0,0.0,0.0,0.0,15.4,14.9,0.0,0.0,0.0
BN4,0.0,12.2,11.0,9.7,0.0,0.0,0.0,11.6,11.2,0.0
BN5,1.3,3.5,4.9,3.9,0.0,15.1,4.7,3.8,0.0,0.0
BN6,0.0,17.3,3.0,22.22,1.18,0.0,1.0,0.0,2.9,0.0
BN7,,4.1,9.0,13.0,16.4,10.3,6.0,8.0,13.6,
BN8,,,,,,,,,,
K,3.0,12.0,10.0,15.0,9.0,9.0,13.0,14.0,2.0,14.0
DEF,24.0,2.0,0.0,22.0,5.0,10.0,21.0,2.0,7.0,6.0
TotalPoints,125.42,137.44,137.1,184.12,149.02,127.11999999999999,161.14,102.49999999999999,98.12000000000002,98.44
